actual_day,bottle,treatment,vs_in,vs_s,vs_fed,daily_biogas,methane_v_frac,daily_methane,cumu_methane
3,5,I+RS (ISR: 2),5,2.5,7.5,1.072596835764024,0.749263935,0.8036581258331014,2.814466192303724
4,5,I+RS (ISR: 2),5,2.5,7.5,1.179232912274867,0.790624064,0.9323299175053108,3.7467961098090345
5,5,I+RS (ISR: 2),5,2.5,7.5,0.8062792653541742,0.8005538056666667,0.6454699343094084,4.392266044118443
6,5,I+RS (ISR: 2),5,2.5,7.5,1.5291460399844397,0.8104835473333333,1.2393477068773078,5.631613750995751
7,5,I+RS (ISR: 2),5,2.5,7.5,1.2835702893171668,0.820413289,1.0530581227213784,6.684671873717129
8,5,I+RS (ISR: 2),5,2.5,7.5,0.144648742692695,0.829092864,0.11992724035308558,6.804599114070214
9,5,I+RS (ISR: 2),5,2.5,7.5,0.6190763680802256,0.837772439,0.5186451188138324,7.323244232884047
10,5,I+RS (ISR: 2),5,2.5,7.5,0.24439021829203078,0.846452014,0.2068645924751891,7.530108825359236
11,5,I+RS (ISR: 2),5,2.5,7.5,0.5382782149413483,0.845318428,0.4550164944808667,7.985125319840103
12,5,I+RS (ISR: 2),5,2.5,7.5,0.18051862413312136,0.844184842,0.15239108619187644,8.13751640603198
13,5,I+RS (ISR: 2),5,2.5,7.5,1.5474479068914118,0.843051256,1.3045779014993757,9.442094307531356
14,5,I+RS (ISR: 2),5,2.5,7.5,0.7556795010775517,0.84191767,0.6362199248139747,10.078314232345331
15,5,I+RS (ISR: 2),5,2.5,7.5,-0.1578513246259554,0.8439509126666667,0,10.078314232345331
16,5,I+RS (ISR: 2),5,2.5,7.5,0.24784788986650597,0.8459841553333333,0.20967538775986505,10.287989620105197
17,5,I+RS (ISR: 2),5,2.5,7.5,0.394322763658991,0.848017398,0.3343925640102665,10.622382184115464
18,5,I+RS (ISR: 2),5,2.5,7.5,0.4348553565109974,0.84899114375,0.36918834649008564,10.99157053060555
19,5,I+RS (ISR: 2),5,2.5,7.5,-0.026986896462005916,0.8499648895,0,10.99157053060555
20,5,I+RS (ISR: 2),5,2.5,7.5,0.20114948414806122,0.85093863525,0.17116586752219273,11.162736398127743
21,5,I+RS (ISR: 2),5,2.5,7.5,0.13282924015517672,0.851912381,0.11315887424701741,11.275895272374761
22,5,I+RS (ISR: 2),5,2.5,7.5,0.5050359405403313,0.851912381,0.43024637059628806,11.70614164297105
23,5,I+RS (ISR: 2),5,2.5,7.5,-0.06851342960003493,0.851912381,0,11.70614164297105
24,5,I+RS (ISR: 2),5,2.5,7.5,-1.3633832105416896,0.851912381,0,11.70614164297105
25,5,I+RS (ISR: 2),5,2.5,7.5,0.12440340585705201,0.851912381,0.10598080168819052,11.81212244465924
26,5,I+RS (ISR: 2),5,2.5,7.5,-0.06608494173823942,0.851912381,0,11.81212244465924
27,5,I+RS (ISR: 2),5,2.5,7.5,0.16155373227346637,0.851912381,0.13762962472052528,11.949752069379764
28,5,I+RS (ISR: 2),5,2.5,7.5,0.09246820875100425,0.851912381,0.07877481188387307,12.028526881263637
1,6,I+RS (ISR: 2),5,2.5,7.5,4.759363838366424,0.353951903,1.6845858876591802,1.6845858876591802
2,6,I+RS (ISR: 2),5,2.5,7.5,1.7493845748554069,0.707903806,1.2383959986978346,2.9229818863570145
3,6,I+RS (ISR: 2),5,2.5,7.5,1.257786070195432,0.749263935,0.9424137403428156,3.86539562669983
4,6,I+RS (ISR: 2),5,2.5,7.5,1.2678438394676421,0.790624064,1.0023878488772708,4.867783475577101
5,6,I+RS (ISR: 2),5,2.5,7.5,0.8962395703557284,0.8005538056666667,0.7174879988373366,5.585271474414437
6,6,I+RS (ISR: 2),5,2.5,7.5,0.7931709608487694,0.8104835473333333,0.642852013990499,6.228123488404936
7,6,I+RS (ISR: 2),5,2.5,7.5,1.9054198150167991,0.820413289,1.5632317373637037,7.79135522576864
8,6,I+RS (ISR: 2),5,2.5,7.5,0.2939618946037825,0.829092864,0.24372170910391622,8.035076934872556
9,6,I+RS (ISR: 2),5,2.5,7.5,0.6751004986393987,0.837772439,0.5655805913152452,8.6006575261878
10,6,I+RS (ISR: 2),5,2.5,7.5,0.35710882859326,0.846452014,0.30227548717994573,8.902933013367747
11,6,I+RS (ISR: 2),5,2.5,7.5,0.7366391849488121,0.845318428,0.6226946778241311,9.525627691191879
